,cent,b
0,0,0.03616472288
1,1,1.182419202
2,2,1.650380766
3,3,2.016760637
4,4,2.330129346
5,5,2.591094266
6,6,2.841341122
7,7,3.060737613
8,8,3.264972777
9,9,3.472696579
10,10,3.663880842
11,11,3.841337814
12,12,4.01232694
13,13,4.17806978
14,14,4.349630639
15,15,4.505049735
16,16,4.653034122
17,17,4.797502913
18,18,4.933178525
19,19,5.06883553
20,20,5.201703965
21,21,5.337967261
22,22,5.470027156
23,23,5.592248059
24,24,5.715082701
25,25,5.833363043
26,26,5.949036218
27,27,6.060753046
28,28,6.168868208
29,29,6.275728542
30,30,6.384837536
31,31,6.490104064
32,32,6.593818707
33,33,6.699410623
34,34,6.798566186
35,35,6.89716145
36,36,6.99536692
37,37,7.091839227
38,38,7.185742508
39,39,7.278665632
40,40,7.369031918
41,41,7.464291541
42,42,7.553685222
43,43,7.646122299
44,44,7.73676004
45,45,7.821466854
46,46,7.905961541
47,47,7.991363065
48,48,8.08004183
49,49,8.167516764
50,50,8.249821907
51,51,8.33474755
52,52,8.417359271
53,53,8.497526709
54,54,8.582079006
55,55,8.660029613
56,56,8.734989712
57,57,8.812795001
58,58,8.895528903
59,59,8.972886456
60,60,9.049896587
61,61,9.126538238
62,62,9.202827491
63,63,9.278019427
64,64,9.350399728
65,65,9.426306659
66,66,9.501959101
67,67,9.573160615
68,68,9.64507383
69,69,9.715535502
70,70,9.787152598
71,71,9.859140714
72,72,9.930632014
73,73,9.999831622
74,74,10.07069201
75,75,10.14119619
76,76,10.21240259
77,77,10.28455182
78,78,10.35843934
79,79,10.43164913
80,80,10.50267925
81,81,10.57788877
82,82,10.65405592
83,83,10.72872028
84,84,10.81182269
85,85,10.89201406
86,86,10.97429695
87,87,11.0596039
88,88,11.14356716
89,89,11.23839199
90,90,11.33606674
91,91,11.43642009
92,92,11.54743995
93,93,11.66687954
94,94,11.80788919
95,95,11.96337196
96,96,12.13839062
97,97,12.35902113
98,98,12.65766792
99,99,13.10855652
100,100,16.73206301
