,cent,entropy
0,0,103.00853715226998
1,1,77.70340898140284
2,2,73.36639721135997
3,3,70.26577278158089
4,4,67.42076627439998
5,5,64.8796891610359
6,6,62.25593560422254
7,7,59.8531507545907
8,8,57.776541000885594
9,9,55.48976372467324
10,10,53.51899770960166
11,11,51.61599545412267
12,12,49.71978598531596
13,13,47.936685425407916
14,14,46.24603519458735
15,15,44.604099715779164
16,16,43.03891134484239
17,17,41.51817567478493
18,18,40.09902793135153
19,19,38.68074498115177
20,20,37.36106726218489
21,21,36.096876895881174
22,22,34.769842119383135
23,23,33.53344891214542
24,24,32.375269531952526
25,25,31.20848994559507
26,26,30.116767769159196
27,27,28.956061176821294
28,28,27.88450196926218
29,29,26.82370758836563
30,30,25.81590283545745
31,31,24.812685415654528
32,32,23.874518382309297
33,33,22.965057935492332
34,34,22.04298513120429
35,35,21.226197227685017
36,36,20.3995478173945
37,37,19.614159986695793
38,38,18.83194846808795
39,39,18.01618863042513
40,40,17.273809384815507
41,41,16.533873631400926
42,42,15.82422199100003
43,43,15.151934319111938
44,44,14.505570468552266
45,45,13.823497694712369
46,46,13.24914194240981
47,47,12.629308590172382
48,48,12.040912514453705
49,49,11.479732143471209
50,50,10.920434954831247
51,51,10.356825757605229
52,52,9.840310767733436
53,53,9.37493562426209
54,54,8.902161605272902
55,55,8.453189737536746
56,56,8.014950724765841
57,57,7.599991962524446
58,58,7.180817636829353
59,59,6.781220157020276
60,60,6.40572908857834
61,61,6.039778843213923
62,62,5.6952595320458315
63,63,5.350505815236927
64,64,5.04296811080655
65,65,4.730922406768612
66,66,4.448315974614552
67,67,4.178540646122618
68,68,3.9088483114717247
69,69,3.6483339438802593
70,70,3.407255256751029
71,71,3.168229646725734
72,72,2.9449756013589274
73,73,2.7306910582578703
74,74,2.525927643376395
75,75,2.3330334391747876
76,76,2.156145609195936
77,77,1.9834042031357035
78,78,1.8199828259538484
79,79,1.6666907293980027
80,80,1.5297207789213811
81,81,1.3886413850151258
82,82,1.2606810171740743
83,83,1.1459014634558298
84,84,1.0281050432229923
85,85,0.9227583758382324
86,86,0.8223761858641417
87,87,0.7314647524676133
88,88,0.6491715861148388
89,89,0.5719722636449728
90,90,0.49630424075278307
91,91,0.4269938467518793
92,92,0.36309587641256796
93,93,0.3041395154646688
94,94,0.25030367881720994
95,95,0.2007328186884841
96,96,0.15638805083379023
97,97,0.1145072270248545
98,98,0.07455804563546707
99,99,0.039526927173698136
100,100,0.0007933441703828584
