,cent,entropy
0,0,22.223242647468105
1,1,13.132052709874554
2,2,11.964234151077942
3,3,11.242457666480082
4,4,10.650907986622428
5,5,10.19052931788565
6,6,9.749191218361178
7,7,9.374397553045998
8,8,9.033587913937126
9,9,8.713921809596227
10,10,8.41167819251561
11,11,8.120968059712
12,12,7.850304355322644
13,13,7.573170591115715
14,14,7.339548247402027
15,15,7.10231999079003
16,16,6.877535124544794
17,17,6.656625270405161
18,18,6.440883723944629
19,19,6.228498131844113
20,20,6.03300257883484
21,21,5.83668839579304
22,22,5.653083633144844
23,23,5.470344660317319
24,24,5.2873595107678435
25,25,5.1177057612730135
26,26,4.951465031220732
27,27,4.791243847701339
28,28,4.62319460502129
29,29,4.4722699753023125
30,30,4.3241590386990225
31,31,4.172461790747052
32,32,4.020630549427631
33,33,3.884254183045333
34,34,3.7565883031986784
35,35,3.6227553749937034
36,36,3.4967904352271275
37,37,3.3728426222322607
38,38,3.252436723921201
39,39,3.1398371784938646
40,40,3.030523573397722
41,41,2.920814810805077
42,42,2.8185528500286514
43,43,2.713214905676652
44,44,2.616619901837233
45,45,2.5143060771218417
46,46,2.4190832765878647
47,47,2.324947323406035
48,48,2.2361331606060237
49,49,2.1491455094183256
50,50,2.0658371962195186
51,51,1.9876883407362491
52,52,1.904982904853725
53,53,1.828905892901723
54,54,1.755278280266514
55,55,1.6789336312721963
56,56,1.6063554337635495
57,57,1.5383356365327223
58,58,1.4710792358367804
59,59,1.4055432011187514
60,60,1.3462097305174683
61,61,1.2873158180752282
62,62,1.229995231798868
63,63,1.1724887396693002
64,64,1.1139816568153775
65,65,1.061128520404093
66,66,1.0093301301772546
67,67,0.9586663716310782
68,68,0.9135924995778296
69,69,0.867105961776986
70,70,0.8221783380065127
71,71,0.7775836430897066
72,72,0.7358328946824597
73,73,0.6947884413827502
74,74,0.653939551798256
75,75,0.615412297747285
76,76,0.5792045219665785
77,77,0.5436196844091701
78,78,0.5088499486609719
79,79,0.47331387688678606
80,80,0.44253317733586633
81,81,0.4135840460945613
82,82,0.383600693205288
83,83,0.3537196641268596
84,84,0.3243225008570344
85,85,0.29736193713598796
86,86,0.2718167503161317
87,87,0.24750555264626575
88,88,0.22381389065972737
89,89,0.2023716247015373
90,90,0.18113153887656086
91,91,0.1605697822332071
92,92,0.14036939435237109
93,93,0.12360570825000616
94,94,0.10419298000144288
95,95,0.08658827640627319
96,96,0.06908960301120669
97,97,0.05288565084798544
98,98,0.03709051070329636
99,99,0.020467714471921382
100,100,9.566399568824969e-05
