,cent,b
0,0,0.04737595858
1,1,1.180575208
2,2,1.65356465
3,3,2.020438944
4,4,2.332840328
5,5,2.599897502
6,6,2.856861149
7,7,3.068256059
8,8,3.284369685
9,9,3.492131786
10,10,3.675559724
11,11,3.865160455
12,12,4.039594081
13,13,4.213893207
14,14,4.369467516
15,15,4.525540278
16,16,4.676083999
17,17,4.81339619
18,18,4.948512324
19,19,5.079095865
20,20,5.209603818
21,21,5.343713643
22,22,5.468145432
23,23,5.595211307
24,24,5.706547851
25,25,5.819466123
26,26,5.931334384
27,27,6.04048006
28,28,6.151803879
29,29,6.259578585
30,30,6.361408434
31,31,6.468213987
32,32,6.571237172
33,33,6.678913405
34,34,6.774597127
35,35,6.874053839
36,36,6.967459783
37,37,7.064947315
38,38,7.162547789
39,39,7.255578304
40,40,7.349605846
41,41,7.440858454
42,42,7.530341828
43,43,7.622629192
44,44,7.714739285
45,45,7.80260713
46,46,7.892565014
47,47,7.974303953
48,48,8.057679636
49,49,8.142368458
50,50,8.226744026
51,51,8.312105515
52,52,8.390124544
53,53,8.473113103
54,54,8.553153899
55,55,8.631331581
56,56,8.708285835
57,57,8.784721157
58,58,8.857461496
59,59,8.932588096
60,60,9.006437596
61,61,9.083470399
62,62,9.160388029
63,63,9.233640834
64,64,9.305002516
65,65,9.375305831
66,66,9.444538552
67,67,9.516234647
68,68,9.589920364
69,69,9.655765084
70,70,9.726464903
71,71,9.79923976
72,72,9.872343028
73,73,9.943775849
74,74,10.014859
75,75,10.0860263
76,76,10.15957639
77,77,10.23293325
78,78,10.30452917
79,79,10.37939673
80,80,10.44961705
81,81,10.52466249
82,82,10.5983587
83,83,10.67392709
84,84,10.75219521
85,85,10.83210333
86,86,10.91806955
87,87,11.00091304
88,88,11.09138885
89,89,11.18712197
90,90,11.28468603
91,91,11.38950877
92,92,11.5099947
93,93,11.63042285
94,94,11.76405913
95,95,11.92158967
96,96,12.10154974
97,97,12.32069297
98,98,12.6166463
99,99,13.07320612
100,100,17.20341751
