,cent,b
0,0,0.0
1,1,1.493758067
2,2,2.113888518
3,3,2.606192685
4,4,3.043754929
5,5,3.401389759
6,6,3.750298297
7,7,4.05876959
8,8,4.328148464
9,9,4.584717684
10,10,4.816155958
11,11,5.049954204
12,12,5.28251026
13,13,5.498654777
14,14,5.706146909
15,15,5.902913199
16,16,6.094367191
17,17,6.272538883
18,18,6.457656792
19,19,6.631956383
20,20,6.803699543
21,21,6.975107095
22,22,7.136994272
23,23,7.303373207
24,24,7.459981252
25,25,7.616193227
26,26,7.770156241
27,27,7.925029781
28,28,8.06768218
29,29,8.20873946
30,30,8.358813008
31,31,8.494565251
32,32,8.629334855
33,33,8.756700602
34,34,8.882237579
35,35,9.01151219
36,36,9.128771641
37,37,9.256287344
38,38,9.38353967
39,39,9.50456755
40,40,9.631449737
41,41,9.751146875
42,42,9.870447628
43,43,9.987893413
44,44,10.10448665
45,45,10.21536132
46,46,10.33470917
47,47,10.44591945
48,48,10.55204811
49,49,10.65432945
50,50,10.76243982
51,51,10.87116698
52,52,10.97813955
53,53,11.08587028
54,54,11.19628167
55,55,11.3009052
56,56,11.39968227
57,57,11.49824336
58,58,11.59946686
59,59,11.69705995
60,60,11.79505289
61,61,11.89294536
62,62,11.99350859
63,63,12.09039585
64,64,12.18819749
65,65,12.28602659
66,66,12.3786039
67,67,12.46738785
68,68,12.55643678
69,69,12.63948327
70,70,12.73092109
71,71,12.81996075
72,72,12.91089597
73,73,12.99932801
74,74,13.08947728
75,75,13.18049031
76,76,13.27100836
77,77,13.35720957
78,78,13.44322782
79,79,13.53290338
80,80,13.61988183
81,81,13.71048219
82,82,13.80070928
83,83,13.89243861
84,84,13.9830629
85,85,14.07375012
86,86,14.16291699
87,87,14.25993254
88,88,14.34854839
89,89,14.44623682
90,90,14.55203183
91,91,14.6568732
92,92,14.76854024
93,93,14.88663698
94,94,15.03223239
95,95,15.17825108
96,96,15.35254072
97,97,15.56563481
98,98,15.85247033
99,99,16.30621085
100,100,19.52256068
