,cent,entropy
0,0,105.00302419958305
1,1,78.38992747825904
2,2,74.12801241773151
3,3,70.87047279287391
4,4,68.00420755814383
5,5,65.43863051814891
6,6,62.95733033221668
7,7,60.51386021304571
8,8,58.44274468206202
9,9,56.25506177477896
10,10,54.213867395886695
11,11,52.16884394515808
12,12,50.327982969726875
13,13,48.59916328970314
14,14,46.81904807074456
15,15,45.22077647364739
16,16,43.6521566979858
17,17,42.142524099504605
18,18,40.55961133414887
19,19,39.197229799114744
20,20,37.794852894303595
21,21,36.4587522092403
22,22,35.11329171602111
23,23,33.767537767678334
24,24,32.492371403938755
25,25,31.255668762193583
26,26,30.094812374422347
27,27,28.954023034053424
28,28,27.866909237052546
29,29,26.81360754307305
30,30,25.779843160716457
31,31,24.79179589704714
32,32,23.839594995440017
33,33,22.904041778661753
34,34,22.016881545514316
35,35,21.16454224503968
36,36,20.349241662124136
37,37,19.556059512550057
38,38,18.731655595332924
39,39,17.952161615033397
40,40,17.234633290593752
41,41,16.48619627368445
42,42,15.795248629757944
43,43,15.099285937807517
44,44,14.40638616389282
45,45,13.789112443638786
46,46,13.190961321054866
47,47,12.588570745418865
48,48,11.954895310406005
49,49,11.388387009398215
50,50,10.877100838613956
51,51,10.34223629142561
52,52,9.857239162692789
53,53,9.379587005992091
54,54,8.923594799068356
55,55,8.461104026350267
56,56,8.019534214348262
57,57,7.58467266444308
58,58,7.183929605808281
59,59,6.8001407148253445
60,60,6.419947412956569
61,61,6.06095103708321
62,62,5.70381545864317
63,63,5.366985729464367
64,64,5.01906103760386
65,65,4.700209619192007
66,66,4.405498640667439
67,67,4.1367317054666035
68,68,3.87840093921113
69,69,3.6275874631979708
70,70,3.3740905799671776
71,71,3.1350959088969605
72,72,2.919579316299438
73,73,2.718269801537458
74,74,2.514158217997031
75,75,2.3205335691109044
76,76,2.134842166662731
77,77,1.9671115530491419
78,78,1.8125362087088213
79,79,1.6600109232583236
80,80,1.5206119592867697
81,81,1.3878965792708473
82,82,1.2655081920067854
83,83,1.1490589028627616
84,84,1.0344094040347014
85,85,0.9284910688336985
86,86,0.8289485746837482
87,87,0.7367057936459438
88,88,0.6552362540691145
89,89,0.5738777568734528
90,90,0.501373587649339
91,91,0.42990787330674424
92,92,0.3674413204276265
93,93,0.30723266175352687
94,94,0.2512919671217884
95,95,0.20227721747267233
96,96,0.15399985543415923
97,97,0.11089923029054441
98,98,0.07456526365924886
99,99,0.038250514098474596
100,100,0.000471508185546872
